tissue	size
fly--GEO--GSE101882	216
fly--GEO--GSE11316	86
fly--GEO--GSE11695	150
fly--GEO--GSE17013	120
fly--GEO--GSE31386	134
fly--GEO--GSE33779	90
fly--GEO--GSE38106-Abdomen	60
fly--GEO--GSE38106-Head	60
fly--GEO--GSE50745	235
fly--GEO--GSE5181	288
fly--GEO--GSE52076	596
fly--GEO--GSE8843	80
fly--OTHER--DGRP-female	368
fly--OTHER--DGRP-male	369
