ensembl_gene_id	gene_id	symbol	type
NA	171785	Y39G10AR.11	protein-coding
NA	171786	tpxl-1	protein-coding
NA	171787	epg-2	protein-coding
NA	171788	icp-1	protein-coding
NA	171789	Y39G10AR.9	protein-coding
NA	171790	nsun-4	protein-coding
NA	171791	tbca-1	protein-coding
NA	171792	eif-2gamma	protein-coding
NA	171793	mcm-4	protein-coding
NA	171794	Y39G10AR.15	protein-coding
NA	171795	Y39G10AR.16	protein-coding
NA	171797	dot-1.1	protein-coding
NA	171798	zwl-1	protein-coding
NA	171799	F23C8.13	protein-coding
NA	171800	F23C8.5	protein-coding
NA	171801	did-2	protein-coding
NA	171802	F23C8.8	protein-coding
NA	171803	tipn-1	protein-coding
NA	171804	ubxn-1	protein-coding
NA	171805	inx-19	protein-coding
NA	171806	Y74C10AL.2	protein-coding
NA	171807	abtm-1	protein-coding
NA	171808	Y74C10AR.2	protein-coding
NA	171809	eif-3.I	protein-coding
NA	171810	Y23H5B.6	protein-coding
NA	171811	Y23H5B.5	protein-coding
NA	171812	Y23H5B.7	pseudo
NA	171813	ssp-19	protein-coding
NA	171814	aat-5	protein-coding
NA	171816	ptr-12	protein-coding
NA	171817	K07A3.3	protein-coding
NA	171818	ctn-1	protein-coding
NA	171819	Y23H5A.3	protein-coding
NA	171820	Y23H5A.2	protein-coding
NA	171821	cars-1	protein-coding
NA	171822	cars-2	pseudo
NA	171824	F40E3.5	protein-coding
NA	171827	F32B5.6	protein-coding
NA	171828	F32B5.7	protein-coding
NA	171829	cpz-1	protein-coding
NA	171830	msrp-1	protein-coding
NA	171831	F32B5.1	protein-coding
NA	171832	lin-17	protein-coding
NA	171833	dnj-30	protein-coding
NA	171834	snr-7	protein-coding
NA	171835	yop-1	protein-coding
NA	171836	Y71F9B.2	protein-coding
NA	171837	lron-11	protein-coding
NA	171838	plk-2	protein-coding
NA	171839	Y71F9B.9	protein-coding
NA	171840	sop-3	protein-coding
NA	171841	Y71F9B.13	protein-coding
NA	171842	W03D8.9	protein-coding
NA	171843	W03D8.10	pseudo
