ensembl_gene_id	gene_id	symbol	type
NA	850439	FUB1	protein-coding
NA	850440	PAT1	protein-coding
NA	850441	PTC6	protein-coding
NA	850442	SRB8	protein-coding
NA	850443	AHC2	protein-coding
NA	850444	TRX3	protein-coding
NA	850445	TUP1	protein-coding
NA	850446	YCR085W	protein-coding
NA	850447	CSM1	protein-coding
NA	850449	YCR087C-A	protein-coding
NA	850450	ABP1	protein-coding
NA	850451	FIG2	protein-coding
NA	850452	YCR090C	protein-coding
NA	850453	KIN82	protein-coding
NA	850454	MSH3	protein-coding
NA	850455	CDC39	protein-coding
NA	850456	CDC50	protein-coding
NA	850457	OCA4	protein-coding
NA	850458	HMRA2	protein-coding
NA	850459	HMRA1	protein-coding
NA	850461	tT(AGU)C	tRNA
NA	850462	GIT1	protein-coding
NA	850463	YCR099C	protein-coding
NA	850464	YCR100C	protein-coding
NA	850465	YCR101C	protein-coding
NA	850466	YCR102C	protein-coding
NA	850468	PAU3	protein-coding
NA	850469	ADH7	protein-coding
NA	850470	RDS1	protein-coding
NA	850471	AAD3	protein-coding
NA	850476	YFL068W	protein-coding
NA	850477	YFL067W	protein-coding
NA	850478	YFL066C	protein-coding
NA	850479	YFL065C	protein-coding
NA	850480	YFL064C	protein-coding
NA	850482	COS4	protein-coding
NA	850483	DDI2	protein-coding
NA	850484	SNO3	protein-coding
NA	850485	SNZ3	protein-coding
NA	850486	THI5	protein-coding
NA	850488	AAD6	pseudo
NA	850489	AGP3	protein-coding
NA	850490	AQY3	protein-coding
NA	850491	DAK2	protein-coding
NA	850492	ZNF1	protein-coding
NA	850493	YFL051C	protein-coding
NA	850494	ALR2	protein-coding
NA	850495	SWP82	protein-coding
NA	850496	EMP47	protein-coding
NA	850497	RGD2	protein-coding
NA	850498	FMP32	protein-coding
NA	850499	SEC53	protein-coding
NA	850500	OTU1	protein-coding
NA	850501	LAM5	protein-coding
NA	850502	FET5	protein-coding
NA	850503	YFL040W	protein-coding
NA	850504	ACT1	protein-coding
NA	850505	YPT1	protein-coding
NA	850506	TUB2	protein-coding
NA	850507	RPO41	protein-coding
NA	850508	MOB2	protein-coding
NA	850509	RPL22B	protein-coding
NA	850510	MIL1	protein-coding
NA	850511	RIM15	protein-coding
NA	850513	HAC1	protein-coding
NA	850514	AGX1	protein-coding
NA	850515	CAK1	protein-coding
NA	850516	CAF16	protein-coding
NA	850517	GYP8	protein-coding
NA	850518	STE2	protein-coding
NA	850519	BST1	protein-coding
NA	850520	EPL1	protein-coding
NA	850521	BUD27	protein-coding
NA	850522	FRS2	protein-coding
NA	850523	GAT1	protein-coding
NA	850524	PAU5	protein-coding
NA	850525	YFL019C	protein-coding
NA	850526	SUF9	tRNA
NA	850527	LPD1	protein-coding
NA	850528	SMX2	protein-coding
NA	850529	GNA1	protein-coding
NA	850530	MDJ1	protein-coding
NA	850531	YFL015C	protein-coding
NA	850532	HSP12	protein-coding
NA	850534	IES1	protein-coding
NA	850535	YFL012W	protein-coding
NA	850536	HXT10	protein-coding
NA	850537	AUA1	protein-coding
NA	850538	WWM1	protein-coding
NA	850539	CDC4	protein-coding
NA	850540	SMC1	protein-coding
NA	850541	BLM10	protein-coding
NA	850543	SEC4	protein-coding
NA	850544	VTC2	protein-coding
NA	850545	MSH4	protein-coding
NA	850546	tN(GUU)F	tRNA
NA	850547	YFL002W-B	protein-coding
NA	850548	YFL002W-A	protein-coding
NA	850549	SPB4	protein-coding
NA	850550	DEG1	protein-coding
NA	850551	LOC1	protein-coding
NA	850552	NIC96	protein-coding
NA	850553	YPI1	protein-coding
NA	850554	RPN11	protein-coding
NA	850555	SAD1	protein-coding
NA	850556	YFR006W	protein-coding
NA	850557	tF(GAA)F	tRNA
NA	850558	YFH7	protein-coding
NA	850559	FAR7	protein-coding
NA	850560	SUF20	tRNA
NA	850561	GCN20	protein-coding
NA	850562	UBP6	protein-coding
NA	850563	MIC19	protein-coding
NA	850564	SUP11	tRNA
NA	850565	DCV1	protein-coding
NA	850566	YFR012W-A	protein-coding
NA	850567	IOC3	protein-coding
NA	850568	CMK1	protein-coding
NA	850569	GSY1	protein-coding
NA	850570	YFR016C	protein-coding
NA	850571	tG(GCC)F2	tRNA
NA	850572	IGD1	protein-coding
NA	850573	YFR018C	protein-coding
NA	850574	FAB1	protein-coding
NA	850575	tS(GCU)F	tRNA
NA	850576	CSS2	protein-coding
NA	850577	ATG18	protein-coding
NA	850578	ROG3	protein-coding
NA	850579	PES4	protein-coding
NA	850580	LSB3	protein-coding
NA	850581	HIS2	protein-coding
NA	850582	tA(AGC)F	tRNA
NA	850583	ULI1	protein-coding
NA	850584	ECO1	protein-coding
NA	850585	CDC14	protein-coding
NA	850586	SUP6	tRNA
NA	850587	PTR3	protein-coding
NA	850588	MET10	protein-coding
NA	850589	SMC2	protein-coding
NA	850590	RPL2A	protein-coding
NA	850591	RRT5	protein-coding
NA	850592	RPL29	protein-coding
NA	850593	QCR6	protein-coding
NA	850594	PHO4	protein-coding
NA	850595	YFR035C	protein-coding
NA	850596	tK(CUU)F	tRNA
NA	850597	CDC26	protein-coding
NA	850598	RSC8	protein-coding
NA	850599	IRC5	protein-coding
NA	850600	OSW7	protein-coding
NA	850601	SAP155	protein-coding
NA	850602	ERJ5	protein-coding
NA	850603	KEG1	protein-coding
NA	850604	IRC6	protein-coding
NA	850605	DUG1	protein-coding
NA	850606	YFR045W	protein-coding
NA	850607	CNN1	protein-coding
NA	850608	BNA6	protein-coding
NA	850609	RMD8	protein-coding
NA	850610	YMR31	protein-coding
NA	850611	PRE4	protein-coding
NA	850612	RET2	protein-coding
NA	850613	RPN12	protein-coding
NA	850614	HXK1	protein-coding
NA	850615	YFR054C	protein-coding
NA	850616	IRC7	protein-coding
NA	850618	YFR057W	protein-coding
NA	850619	VPS13	protein-coding
NA	850620	UBI4	protein-coding
NA	850621	ENT4	protein-coding
NA	850623	PRP19	protein-coding
NA	850624	GRC3	protein-coding
NA	850625	RIX7	protein-coding
NA	850626	IRC19	protein-coding
NA	850627	YLL032C	protein-coding
NA	850628	GPI13	protein-coding
NA	850629	RRT7	protein-coding
NA	850630	FRA1	protein-coding
NA	850631	TPO1	protein-coding
NA	850632	ISA1	protein-coding
NA	850633	HSP104	protein-coding
NA	850634	tP(UGG)L	tRNA
NA	850635	PAU17	protein-coding
NA	850636	SSA2	protein-coding
NA	850637	POM33	protein-coding
NA	850638	HIF1	protein-coding
NA	850639	SPA2	protein-coding
NA	850641	KNS1	protein-coding
NA	850642	COX19	protein-coding
NA	850643	DPS1	protein-coding
NA	850644	SDC25	pseudo
NA	850645	BPT1	protein-coding
NA	850646	EMC6	protein-coding
NA	850647	PUF3	protein-coding
NA	850648	YEH1	protein-coding
NA	850649	SOF1	protein-coding
NA	850650	PSR1	protein-coding
NA	850651	COX17	protein-coding
NA	850652	DRS1	protein-coding
NA	850653	LMO1	protein-coding
NA	850654	MMM1	protein-coding
NA	850655	SPO75	protein-coding
NA	850656	ORC3	protein-coding
NA	850657	SFI1	protein-coding
NA	850658	RTT109	protein-coding
NA	850659	YLL067C	protein-coding
NA	850660	YLL066C	protein-coding
NA	850662	PAU18	protein-coding
NA	850663	AYT1	protein-coding
NA	850664	MHT1	protein-coding
NA	850665	MMP1	protein-coding
NA	850666	GTT2	protein-coding
NA	850668	YLL058W	protein-coding
NA	850669	JLP1	protein-coding
NA	850670	YLL056C	protein-coding
NA	850671	YCT1	protein-coding
NA	850672	YLL054C	protein-coding
NA	850673	YLL053C	protein-coding
NA	850674	AQY2	protein-coding
NA	850675	FRE6	protein-coding
NA	850676	COF1	protein-coding
NA	850677	LDB18	protein-coding
NA	850678	YBT1	protein-coding
NA	850680	RNP1	protein-coding
NA	850682	RPL8B	protein-coding
NA	850683	FPS1	protein-coding
NA	850684	ATG10	protein-coding
NA	850685	SDH2	protein-coding
NA	850686	DNM1	protein-coding
NA	850687	YLR001C	protein-coding
NA	850688	NOC3	protein-coding
NA	850689	CMS1	protein-coding
NA	850690	THI73	protein-coding
NA	850691	SSL1	protein-coding
NA	850692	SSK1	protein-coding
NA	850693	NSE1	protein-coding
NA	850694	PAM18	protein-coding
NA	850695	RLP24	protein-coding
NA	850696	TEN1	protein-coding
NA	850697	tS(AGA)L	tRNA
NA	850698	LOT6	protein-coding
NA	850699	YLR012C	protein-coding
NA	850700	GAT3	protein-coding
NA	850701	PPR1	protein-coding
NA	850702	BRE2	protein-coding
NA	850703	PML1	protein-coding
NA	850704	MEU1	protein-coding
NA	850705	POM34	protein-coding
NA	850706	PSR2	protein-coding
NA	850707	YEH2	protein-coding
NA	850708	IRC25	protein-coding
NA	850709	SDO1	protein-coding
NA	850710	IZH3	protein-coding
NA	850711	UBR2	protein-coding
NA	850712	SNF7	protein-coding
NA	850713	SED5	protein-coding
NA	850714	AAT2	protein-coding
NA	850715	ADE16	protein-coding
