tissue	size
mouse--GEO--GSE57659-gonadal_adipose_tissue	62
mouse--GEO--GSE57659-subcutaneous_adipose_tissue	61
mouse--GEO--GSE57659-visceral_adipose_tissue	56
mouse--GEO--GSE59054	116
mouse--GEO--GSE59194	120
mouse--GEO--GSE59396	80
mouse--GEO--GSE59404	112
mouse--GEO--GSE59675	116
mouse--GEO--GSE60149	81
mouse--GEO--GSE60312	100
mouse--GEO--GSE60336	81
mouse--GEO--GSE60337	82
mouse--GEO--GSE60402	302
mouse--GEO--GSE60489	81
mouse--GEO--GSE6065	100
mouse--GEO--GSE60684	167
mouse--GEO--GSE60769	105
mouse--GEO--GSE60801	208
mouse--GEO--GSE61106-blood	79
mouse--GEO--GSE61106-lung	39
mouse--GEO--GSE61106-spleen	52
mouse--GEO--GSE61191	128
mouse--GEO--GSE61716	109
mouse--GEO--GSE61901	214
mouse--GEO--GSE62967	177
mouse--GEO--GSE63044	252
mouse--GEO--GSE63174	115
mouse--GEO--GSE63175	119
mouse--GEO--GSE63176	106
mouse--GEO--GSE63177	115
mouse--GEO--GSE63611	81
mouse--GEO--GSE63786	209
mouse--GEO--GSE64522	159
mouse--GEO--GSE64548	189
mouse--GEO--GSE64768	439
mouse--GEO--GSE64769	433
mouse--GEO--GSE64770	112
mouse--GEO--GSE64800	104
mouse--GEO--GSE64908	112
mouse--GEO--GSE65346	120
mouse--GEO--GSE65770	168
mouse--GEO--GSE65772	167
mouse--GEO--GSE65774	208
mouse--GEO--GSE66568	220
mouse--GEO--GSE66569	366
mouse--GEO--GSE68364	91
mouse--GEO--GSE69970	153
mouse--GEO--GSE70249	392
mouse--GEO--GSE71232	143
mouse--GEO--GSE72350	98
mouse--GEO--GSE72554	80
mouse--GEO--GSE72759	384
mouse--GEO--GSE73468	166
mouse--GEO--GSE73503	167
mouse--GEO--GSE73552	84
mouse--GEO--GSE73878	80
mouse--GEO--GSE74441-frontal_cortex	131
mouse--GEO--GSE74441-hippocampus	129
mouse--GEO--GSE7480	191
mouse--GEO--GSE75156	90
mouse--GEO--GSE75210	365
mouse--GEO--GSE75211	86
mouse--GEO--GSE75569	112
mouse--GEO--GSE75571	112
mouse--GEO--GSE75572	112
mouse--GEO--GSE75573	112
mouse--GEO--GSE75869	83
mouse--GEO--GSE76630	78
mouse--GEO--GSE77102-blood	68
mouse--GEO--GSE77102-liver	52
mouse--GEO--GSE77102-spleen	72
mouse--GEO--GSE77263	99
mouse--GEO--GSE7759	112
mouse--GEO--GSE78183	318
mouse--GEO--GSE78270	96
mouse--GEO--GSE78272	95
mouse--GEO--GSE78273	93
mouse--GEO--GSE78274	96
mouse--GEO--GSE79551	282
mouse--GEO--GSE8104	73
mouse--GEO--GSE81570	233
mouse--GEO--GSE82046	80
mouse--GEO--GSE82294	177
mouse--GEO--GSE83197	88
mouse--GEO--GSE83550	194
mouse--GEO--GSE83739	354
mouse--GEO--GSE84521	102
mouse--GEO--GSE84522	104
mouse--GEO--GSE84590	80
mouse--GEO--GSE84767	200
mouse--GEO--GSE8512	207
mouse--GEO--GSE85339-blood	147
mouse--GEO--GSE85339-lymph_node	146
mouse--GEO--GSE86424	88
mouse--GEO--GSE86425	95
mouse--GEO--GSE87259-duodenum	70
mouse--GEO--GSE87259-jejunum	72
mouse--GEO--GSE87259-palate	72
mouse--GEO--GSE87292	109
mouse--GEO--GSE87298	102
mouse--GEO--GSE87633-Liver	112
mouse--GEO--GSE87633-Lung	122
mouse--GEO--GSE87633-Spleen	90
mouse--GEO--GSE87685	92
mouse--GEO--GSE88825	91
mouse--GEO--GSE88919-colon	80
mouse--GEO--GSE88919-small_intestine	68
mouse--GEO--GSE88920	791
mouse--GEO--GSE89658	86
mouse--GEO--GSE89988	118
mouse--GEO--GSE91003	128
mouse--GEO--GSE93515	133
mouse--GEO--GSE93591	154
mouse--GEO--GSE93903	103
mouse--GEO--GSE9444	89
mouse--GEO--GSE94574	92
mouse--GEO--GSE95421	130
mouse--GEO--GSE96101	120
mouse--GEO--GSE97618	82
mouse--GEO--GSE98470	154
mouse--GEO--GSE98790-cerebellum	64
mouse--GEO--GSE98790-dorsal_root_ganglion	64
mouse--GEO--GSE98790-heart	64
mouse--GEO--GSE99192	67
mouse--GEO--GSE99558	262
mouse--MPD--Attie1_B6xBTBR_adipose	487
mouse--MPD--Attie1_B6xBTBR_gastroc	490
mouse--MPD--Attie1_B6xBTBR_hypo	369
mouse--MPD--Attie1_B6xBTBR_islet	491
mouse--MPD--Attie1_B6xBTBR_kidney	474
mouse--MPD--Attie1_B6xBTBR_liver	483
mouse--MPD--Hageman2011_MRLxSM_kidney	173
mouse--OTHER--CFW-hippocampus	79
mouse--OTHER--CFW-prefrontalcortex	54
mouse--OTHER--CFW-striatum	55
mouse--OTHER--MXIF2-liver	440
