tissue	size
human--GEO--GSE60862-cerebellar_cortex	130
human--GEO--GSE60862-frontal_cortex	126
human--GEO--GSE60862-hippocampus	112
human--GEO--GSE60862-medulla	119
human--GEO--GSE60862-occipital_cortex	128
human--GEO--GSE60862-putamen	117
human--GEO--GSE60862-substantia_nigra	90
human--GEO--GSE60862-temporal_cortex	118
human--GEO--GSE60862-thalamus	123
human--GEO--GSE60862-white_matter	130
human--GEO--GSE60979	93
human--GEO--GSE6099	100
human--GEO--GSE61093	86
human--GEO--GSE61240	550
human--GEO--GSE61276	106
human--GEO--GSE6128	190
human--GEO--GSE6130	73
human--GEO--GSE61364	96
human--GEO--GSE61374	137
human--GEO--GSE61635	129
human--GEO--GSE61739	96
human--GEO--GSE61754	86
human--GEO--GSE61804	299
human--GEO--GSE61821	402
human--GEO--GSE62043	100
human--GEO--GSE62064	87
human--GEO--GSE62117	102
human--GEO--GSE62165	131
human--GEO--GSE62190	82
human--GEO--GSE62191	88
human--GEO--GSE62199	201
human--GEO--GSE62207	307
human--GEO--GSE62232	91
human--GEO--GSE62254	300
human--GEO--GSE62452	130
human--GEO--GSE62627	174
human--GEO--GSE62646	98
human--GEO--GSE62673	94
human--GEO--GSE62743	132
human--GEO--GSE63060	329
human--GEO--GSE63061	385
human--GEO--GSE63074	410
human--GEO--GSE63085	94
human--GEO--GSE63089	90
human--GEO--GSE63098	121
human--GEO--GSE63127	183
human--GEO--GSE63142	155
human--GEO--GSE63471	142
human--GEO--GSE63514	128
human--GEO--GSE635	173
human--GEO--GSE63808	129
human--GEO--GSE63878	96
human--GEO--GSE63881	341
human--GEO--GSE63885	101
human--GEO--GSE63898	396
human--GEO--GSE63935	303
human--GEO--GSE63952	100
human--GEO--GSE63990	280
human--GEO--GSE64016	459
human--GEO--GSE64041	125
human--GEO--GSE64073	100
human--GEO--GSE64176	124
human--GEO--GSE64256	125
human--GEO--GSE64343	88
human--GEO--GSE64415	209
human--GEO--GSE64456	285
human--GEO--GSE64614	40
human--GEO--GSE64711	495
human--GEO--GSE6477	162
human--GEO--GSE64813	184
human--GEO--GSE6481	105
human--GEO--GSE648	89
human--GEO--GSE64951	94
human--GEO--GSE65095	203
human--GEO--GSE65194	178
human--GEO--GSE65221	136
human--GEO--GSE65270	273
human--GEO--GSE6532	87
human--GEO--GSE6536	480
human--GEO--GSE65398	96
human--GEO--GSE65615	138
human--GEO--GSE65682	802
human--GEO--GSE65834	169
human--GEO--GSE65858	266
human--GEO--GSE65904-lymphnode	130
human--GEO--GSE65904-subcutaneous	33
human--GEO--GSE65907	2112
human--GEO--GSE66002	98
human--GEO--GSE66004	109
human--GEO--GSE66005	109
human--GEO--GSE66006	98
human--GEO--GSE66053	79
human--GEO--GSE6613	105
human--GEO--GSE66166	33
human--GEO--GSE66175	480
human--GEO--GSE66187	95
human--GEO--GSE66214	243
human--GEO--GSE66229	300
human--GEO--GSE66258	108
human--GEO--GSE66294	88
human--GEO--GSE66305	88
human--GEO--GSE66360	99
human--GEO--GSE66499	680
human--GEO--GSE66664	140
human--GEO--GSE66702	581
human--GEO--GSE66705	171
human--GEO--GSE66795	160
human--GEO--GSE66863	121
human--GEO--GSE67039	263
human--GEO--GSE67185	108
human--GEO--GSE67255	108
human--GEO--GSE67311	142
human--GEO--GSE67427	155
human--GEO--GSE67698	122
human--GEO--GSE67784	305
human--GEO--GSE67835	318
human--GEO--GSE67936	33
human--GEO--GSE67940	104
human--GEO--GSE68004	180
human--GEO--GSE68049	189
human--GEO--GSE68086	284
human--GEO--GSE68127	99
human--GEO--GSE68182	105
human--GEO--GSE68310	880
human--GEO--GSE68453	180
human--GEO--GSE68466	109
human--GEO--GSE68468-colon	301
human--GEO--GSE68468-liver	60
human--GEO--GSE68527	178
human--GEO--GSE6861	161
human--GEO--GSE68661	507
human--GEO--GSE68720	97
human--GEO--GSE68735-blood	76
human--GEO--GSE68735-bonemarrow	131
human--GEO--GSE68744	148
human--GEO--GSE68759	198
human--GEO--GSE68793	134
human--GEO--GSE68801	122
human--GEO--GSE68848	580
human--GEO--GSE68871	118
human--GEO--GSE68891	144
human--GEO--GSE68896	316
human--GEO--GSE6891	537
human--GEO--GSE68950-brain	54
human--GEO--GSE68950-breast	44
human--GEO--GSE68950-lung	136
human--GEO--GSE68950-lymphoid	116
human--GEO--GSE68950-skin	49
human--GEO--GSE69031	114
human--GEO--GSE69034	150
human--GEO--GSE69049	93
human--GEO--GSE69051	250
human--GEO--GSE69207	100
human--GEO--GSE69528	138
human--GEO--GSE69529	205
human--GEO--GSE6956	87
human--GEO--GSE69597	169
human--GEO--GSE69683	498
human--GEO--GSE69686	149
human--GEO--GSE69715	103
human--GEO--GSE6978	114
human--GEO--GSE69844	331
human--GEO--GSE69845	360
human--GEO--GSE69849	363
human--GEO--GSE69850	348
human--GEO--GSE69925	274
human--GEO--GSE69967	95
human--GEO--GSE70044	114
human--GEO--GSE70311	90
human--GEO--GSE70353	770
human--GEO--GSE70461	107
human--GEO--GSE70536	100
human--GEO--GSE70603	180
human--GEO--GSE70768	199
human--GEO--GSE70769	94
human--GEO--GSE70784	432
human--GEO--GSE70884	87
human--GEO--GSE70905	137
human--GEO--GSE70951	296
human--GEO--GSE71014	104
human--GEO--GSE71016	95
human--GEO--GSE71118	312
human--GEO--GSE71181	284
human--GEO--GSE71187-colon	57
human--GEO--GSE71187-rectum	60
human--GEO--GSE71222	152
human--GEO--GSE7123	397
human--GEO--GSE71258	128
human--GEO--GSE71571	176
human--GEO--GSE71620	420
human--GEO--GSE71766	186
human--GEO--GSE72058	98
human--GEO--GSE72094	413
human--GEO--GSE72220	147
human--GEO--GSE72376	200
human--GEO--GSE72377	165
human--GEO--GSE72605	431
human--GEO--GSE72723	148
human--GEO--GSE72809	240
human--GEO--GSE72810	146
human--GEO--GSE72829	240
human--GEO--GSE72925	168
human--GEO--GSE72951	110
human--GEO--GSE72970	124
human--GEO--GSE73089	120
human--GEO--GSE73129	110
human--GEO--GSE73235	112
human--GEO--GSE73237	124
human--GEO--GSE73255	193
human--GEO--GSE73338	97
human--GEO--GSE73360	92
human--GEO--GSE73378	210
human--GEO--GSE73408	109
human--GEO--GSE73439-subcutaneous	51
human--GEO--GSE73439-visceral	51
human--GEO--GSE73502	196
human--GEO--GSE73517	105
human--GEO--GSE73526	81
human--GEO--GSE73578	133
human--GEO--GSE73614	107
human--GEO--GSE73661	178
human--GEO--GSE73731	265
human--GEO--GSE7390	198
human--GEO--GSE74027	87
human--GEO--GSE74143	377
human--GEO--GSE74224	105
human--GEO--GSE74357	529
human--GEO--GSE7440	99
human--GEO--GSE74553	135
human--GEO--GSE74667	95
human--GEO--GSE74681	263
human--GEO--GSE74725	101
human--GEO--GSE74752	81
human--GEO--GSE74777	107
human--GEO--GSE74786	183
human--GEO--GSE74813	286
human--GEO--GSE74816	177
human--GEO--GSE74817	621
human--GEO--GSE74975	230
human--GEO--GSE74986	86
human--GEO--GSE75011	80
human--GEO--GSE75037	164
human--GEO--GSE75214-colon	116
human--GEO--GSE75214-ileum	78
human--GEO--GSE75220	359
human--GEO--GSE75315	211
human--GEO--GSE7547	189
human--GEO--GSE7553	86
human--GEO--GSE76008	227
human--GEO--GSE76009	227
human--GEO--GSE76124	188
human--GEO--GSE76226	99
human--GEO--GSE76250	198
human--GEO--GSE76262	139
human--GEO--GSE76284	94
human--GEO--GSE76293	94
human--GEO--GSE76297	304
human--GEO--GSE76324	151
human--GEO--GSE76349	92
human--GEO--GSE76360	96
human--GEO--GSE7638	160
human--GEO--GSE76402	529
human--GEO--GSE76427	167
human--GEO--GSE76495	91
human--GEO--GSE76882	274
human--GEO--GSE76885	194
human--GEO--GSE76894	103
human--GEO--GSE76895	103
human--GEO--GSE76925	151
human--GEO--GSE76987	86
human--GEO--GSE77087	104
human--GEO--GSE77343	197
human--GEO--GSE77344	172
human--GEO--GSE7757	99
human--GEO--GSE7761	176
human--GEO--GSE77658	283
human--GEO--GSE77688	88
human--GEO--GSE77791	117
human--GEO--GSE77803	156
human--GEO--GSE7792	176
human--GEO--GSE77962	152
human--GEO--GSE77968	214
human--GEO--GSE78068	209
human--GEO--GSE78193	101
human--GEO--GSE7851	176
human--GEO--GSE78737	103
human--GEO--GSE78806-breast	78
human--GEO--GSE78806-kidney	41
human--GEO--GSE78806-large_intestine	121
human--GEO--GSE78806-lung	99
human--GEO--GSE78806-ovary	52
human--GEO--GSE78806-pancreas	94
human--GEO--GSE78806-skin	46
human--GEO--GSE78806-soft_tissue	62
human--GEO--GSE78840-cd4_t_cells	293
human--GEO--GSE78840-cd8_t_cells	283
human--GEO--GSE78840-peripheral_blood	77
human--GEO--GSE78936	82
human--GEO--GSE78958	424
human--GEO--GSE7895	104
human--GEO--GSE79196	189
human--GEO--GSE79209	82
human--GEO--GSE79362	350
human--GEO--GSE79368	96
human--GEO--GSE79396	288
human--GEO--GSE79533	226
human--GEO--GSE79545	139
human--GEO--GSE79586	128
human--GEO--GSE79636	317
human--GEO--GSE7965-Adipose	701
human--GEO--GSE7965-Blood	1021
human--GEO--GSE79920	229
human--GEO--GSE79970	101
human--GEO--GSE79989	105
human--GEO--GSE80058	119
human--GEO--GSE80060	206
human--GEO--GSE8052	404
human--GEO--GSE80655-AnCg	84
human--GEO--GSE80655-DLPFC	82
human--GEO--GSE80655-nAcc	82
human--GEO--GSE80667	96
human--GEO--GSE80796	505
human--GEO--GSE80999	381
human--GEO--GSE81046	502
human--GEO--GSE81067	110
human--GEO--GSE81089	217
human--GEO--GSE81690	91
human--GEO--GSE8190	250
human--GEO--GSE81934	228
human--GEO--GSE81965	89
human--GEO--GSE81980	150
human--GEO--GSE82023	170
human--GEO--GSE82042	786
human--GEO--GSE82172	152
human--GEO--GSE8218	148
human--GEO--GSE83148	128
human--GEO--GSE83215	118
human--GEO--GSE8332	119
human--GEO--GSE83393	142
human--GEO--GSE83456	202
human--GEO--GSE83503	602
human--GEO--GSE83586	307
human--GEO--GSE83591	109
human--GEO--GSE83632	163
human--GEO--GSE83864	165
human--GEO--GSE83889	136
human--GEO--GSE83951	348
human--GEO--GSE84044	124
human--GEO--GSE84263	121
human--GEO--GSE84422-Amygdala	51
human--GEO--GSE84422-Nucleus_Accumbens	51
human--GEO--GSE84433	357
human--GEO--GSE84437	433
human--GEO--GSE84846	99
human--GEO--GSE85034	179
human--GEO--GSE8507	90
human--GEO--GSE85243	94
human--GEO--GSE85531	102
human--GEO--GSE85570	440
human--GEO--GSE85698	93
human--GEO--GSE85861	91
human--GEO--GSE85871	212
human--GEO--GSE86166	366
human--GEO--GSE86216	144
human--GEO--GSE86411	132
human--GEO--GSE86422	138
human--GEO--GSE8650	123
human--GEO--GSE86574	110
human--GEO--GSE86627	119
human--GEO--GSE86884	95
human--GEO--GSE87072	120
human--GEO--GSE87186	119
human--GEO--GSE87211	351
human--GEO--GSE8723	87
human--GEO--GSE87371	223
human--GEO--GSE87411	217
human--GEO--GSE87455	275
human--GEO--GSE87610	286
human--GEO--GSE87629	107
human--GEO--GSE87630	94
human--GEO--GSE87801	104
human--GEO--GSE88796	132
human--GEO--GSE88808	98
human--GEO--GSE8894	136
human--GEO--GSE8919	191
human--GEO--GSE89252	125
human--GEO--GSE89292	583
human--GEO--GSE89377	107
human--GEO--GSE89399	146
human--GEO--GSE89403	747
human--GEO--GSE89408	183
human--GEO--GSE89503	88
human--GEO--GSE89565	112
human--GEO--GSE89749	120
human--GEO--GSE89809	145
human--GEO--GSE89843	715
human--GEO--GSE89872	179
human--GEO--GSE8991	144
human--GEO--GSE89923	90
human--GEO--GSE9006	117
human--GEO--GSE90074	143
human--GEO--GSE9014	117
human--GEO--GSE90627	128
human--GEO--GSE90732	108
human--GEO--GSE90749	205
human--GEO--GSE9169	86
human--GEO--GSE92532	83
human--GEO--GSE92538	128
human--GEO--GSE92652	91
human--GEO--GSE9309	142
human--GEO--GSE93204	118
human--GEO--GSE93261	149
human--GEO--GSE93291	123
human--GEO--GSE93321	215
human--GEO--GSE93601	1110
human--GEO--GSE93606	174
human--GEO--GSE93624	208
human--GEO--GSE93658	101
human--GEO--GSE9372	171
human--GEO--GSE93984	88
human--GEO--GSE93987	208
human--GEO--GSE94138	94
human--GEO--GSE94417	195
human--GEO--GSE94601	158
human--GEO--GSE95233	124
human--GEO--GSE9539	98
human--GEO--GSE95587	108
human--GEO--GSE95611	154
human--GEO--GSE95639	87
human--GEO--GSE95640	229
human--GEO--GSE95674	256
human--GEO--GSE95675	251
human--GEO--GSE95791	95
human--GEO--GSE95837	127
human--GEO--GSE9588	427
human--GEO--GSE96528	174
human--GEO--GSE97084	103
human--GEO--GSE97221	6
human--GEO--GSE97284	188
human--GEO--GSE97356	142
human--GEO--GSE97460-BT20_cell	112
human--GEO--GSE97460-LnCAP_cell	188
human--GEO--GSE97681	122
human--GEO--GSE97741	166
human--GEO--GSE97742	166
human--GEO--GSE97743	332
human--GEO--GSE9782	264
human--GEO--GSE98320	1208
human--GEO--GSE98793	192
human--GEO--GSE9891-fallopian	8
human--GEO--GSE9891-ovary	243
human--GEO--GSE9891-peritoneum	34
human--GEO--GSE99015	185
human--GEO--GSE99039	505
human--GEO--GSE9936	105
human--GEO--GSE99819	72
human--GEO--GSE99926	92
human--GTEx--Adipose_Subcutaneous	385
human--GTEx--Adipose_Visceral_Omentum	313
human--GTEx--Adrenal_Gland	175
human--GTEx--Artery_Aorta	267
human--GTEx--Artery_Coronary	152
human--GTEx--Artery_Tibial	388
human--GTEx--Brain_Amygdala	88
human--GTEx--Brain_Anterior_cingulate_cortex_BA24	109
human--GTEx--Brain_Caudate_basal_ganglia	144
human--GTEx--Brain_Cerebellar_Hemisphere	125
human--GTEx--Brain_Cerebellum	154
human--GTEx--Brain_Cortex	136
human--GTEx--Brain_Frontal_Cortex_BA9	118
human--GTEx--Brain_Hippocampus	111
human--GTEx--Brain_Hypothalamus	108
human--GTEx--Brain_Nucleus_accumbens_basal_ganglia	130
human--GTEx--Brain_Putamen_basal_ganglia	111
human--GTEx--Brain_Spinal_cord_cervical_c-1	83
human--GTEx--Brain_Substantia_nigra	80
human--GTEx--Breast_Mammary_Tissue	251
human--GTEx--Cells_EBV-transformed_lymphocytes	117
human--GTEx--Cells_Transformed_fibroblasts	300
human--GTEx--Colon_Sigmoid	203
human--GTEx--Colon_Transverse	246
human--GTEx--Esophagus_Gastroesophageal_Junction	213
human--GTEx--Esophagus_Mucosa	358
human--GTEx--Esophagus_Muscularis	335
human--GTEx--Heart_Atrial_Appendage	264
human--GTEx--Heart_Left_Ventricle	272
human--GTEx--Liver	153
human--GTEx--Lung	383
human--GTEx--Minor_Salivary_Gland	85
human--GTEx--Muscle_Skeletal	491
human--GTEx--Nerve_Tibial	361
human--GTEx--Ovary	122
human--GTEx--Pancreas	220
human--GTEx--Pituitary	157
human--GTEx--Prostate	132
human--GTEx--Skin_Not_Sun_Exposed_Suprapubic	335
human--GTEx--Skin_Sun_Exposed_Lower_leg	414
human--GTEx--Small_Intestine_Terminal_Ileum	122
human--GTEx--Spleen	146
human--GTEx--Stomach	237
human--GTEx--Testis	225
human--GTEx--Thyroid	399
human--GTEx--Uterus	101
human--GTEx--Vagina	106
human--GTEx--Whole_Blood	369
