tissue	size
human--GEO--GSE19804	120
human--GEO--GSE1992	85
human--GEO--GSE19977	164
human--GEO--GSE20017	135
human--GEO--GSE20060	385
human--GEO--GSE20098	173
human--GEO--GSE20142	1240
human--GEO--GSE20181	176
human--GEO--GSE20189	162
human--GEO--GSE20194	277
human--GEO--GSE20257	131
human--GEO--GSE20271	178
human--GEO--GSE20295	93
human--GEO--GSE20332	229
human--GEO--GSE2034	286
human--GEO--GSE20462	97
human--GEO--GSE20491	99
human--GEO--GSE20680	195
human--GEO--GSE20681	198
human--GEO--GSE20685	327
human--GEO--GSE20686	393
human--GEO--GSE20711	90
human--GEO--GSE20842	130
human--GEO--GSE20881	172
human--GEO--GSE20970	103
human--GEO--GSE21050	309
human--GEO--GSE2109-breast	352
human--GEO--GSE2109-colon	289
human--GEO--GSE2109-endometrium	73
human--GEO--GSE2109-kidney	280
human--GEO--GSE2109-liver	45
human--GEO--GSE2109-lung	128
human--GEO--GSE2109-omentum	69
human--GEO--GSE2109-ovary	204
human--GEO--GSE2109-prostate	83
human--GEO--GSE2109-uterus	127
human--GEO--GSE21122	158
human--GEO--GSE21261	96
human--GEO--GSE21311	97
human--GEO--GSE21374	282
human--GEO--GSE21410	231
human--GEO--GSE21501	132
human--GEO--GSE21521	104
human--GEO--GSE21545-carotidplaque	125
human--GEO--GSE21545-pbmc	96
human--GEO--GSE21653	265
human--GEO--GSE21725	242
human--GEO--GSE21726	203
human--GEO--GSE21862	144
human--GEO--GSE21891	129
human--GEO--GSE21921	85
human--GEO--GSE22056	98
human--GEO--GSE22083	98
human--GEO--GSE22093	103
human--GEO--GSE22098	274
human--GEO--GSE22148	143
human--GEO--GSE22226	129
human--GEO--GSE22253	107
human--GEO--GSE22324	200
human--GEO--GSE22358	158
human--GEO--GSE22470	125
human--GEO--GSE22762	107
human--GEO--GSE22801	96
human--GEO--GSE22845	154
human--GEO--GSE22895	101
human--GEO--GSE2294	94
human--GEO--GSE2296	87
human--GEO--GSE23025	124
human--GEO--GSE23120	287
human--GEO--GSE23177	116
human--GEO--GSE23304	109
human--GEO--GSE23352	499
human--GEO--GSE23394	96
human--GEO--GSE23400	106
human--GEO--GSE23515	95
human--GEO--GSE2351	129
human--GEO--GSE23529	405
human--GEO--GSE23545	445
human--GEO--GSE23546	1349
human--GEO--GSE23597	113
human--GEO--GSE23746	95
human--GEO--GSE23806	92
human--GEO--GSE23980	171
human--GEO--GSE23991	108
human--GEO--GSE24080	559
human--GEO--GSE24185	103
human--GEO--GSE24293	651
human--GEO--GSE24294	848
human--GEO--GSE24297	701
human--GEO--GSE24427	125
human--GEO--GSE24450	183
human--GEO--GSE24495	113
human--GEO--GSE24702	290
human--GEO--GSE24759-peripheralblood	93
human--GEO--GSE24759-umbilicalcordblood	118
human--GEO--GSE24891	89
human--GEO--GSE24988	116
human--GEO--GSE25001	206
human--GEO--GSE25011	86
human--GEO--GSE25055	310
human--GEO--GSE25065	198
human--GEO--GSE25097	557
human--GEO--GSE25219-amygdala	75
human--GEO--GSE25219-cerebellarcortex	71
human--GEO--GSE25219-dorsolateralprefrontalcortex	88
human--GEO--GSE25219-hippocampus	82
human--GEO--GSE25219-inferiorparietalcortex	85
human--GEO--GSE25219-inferiortemporalcortex	78
human--GEO--GSE25219-medialprefrontalcortex	90
human--GEO--GSE25219-mediodorsalnucleusofthalamus	73
human--GEO--GSE25219-orbitalprefrontalcortex	82
human--GEO--GSE25219-posteriorsuperiortemporalcortex	86
human--GEO--GSE25219-primaryauditorycortex	83
human--GEO--GSE25219-primarymotorcortex	72
human--GEO--GSE25219-primarysomatosensorycortex	72
human--GEO--GSE25219-primaryvisualcortex	83
human--GEO--GSE25219-striatum	75
human--GEO--GSE25219-ventrolateralprefrontalcortex	85
human--GEO--GSE25428	87
human--GEO--GSE25429	87
human--GEO--GSE25507	146
human--GEO--GSE25543	170
human--GEO--GSE25571	109
human--GEO--GSE25638	84
human--GEO--GSE25742	365
human--GEO--GSE25837	93
human--GEO--GSE25902	85
human--GEO--GSE25935	464
human--GEO--GSE2603	121
human--GEO--GSE26049	181
human--GEO--GSE26155	96
human--GEO--GSE26193	107
human--GEO--GSE26210	96
human--GEO--GSE26253	432
human--GEO--GSE26281	154
human--GEO--GSE26304	115
human--GEO--GSE26366	206
human--GEO--GSE26378	103
human--GEO--GSE26440	130
human--GEO--GSE26457	113
human--GEO--GSE26549	86
human--GEO--GSE26554	84
human--GEO--GSE26566	169
human--GEO--GSE2658	559
human--GEO--GSE26625	110
human--GEO--GSE26639	226
human--GEO--GSE26682	176
human--GEO--GSE26712	195
human--GEO--GSE26713	124
human--GEO--GSE26760	304
human--GEO--GSE2680	86
human--GEO--GSE26835	1086
human--GEO--GSE26841-blood	60
human--GEO--GSE26841-skin	72
human--GEO--GSE26899	108
human--GEO--GSE26901	109
human--GEO--GSE26906	90
human--GEO--GSE26942	217
human--GEO--GSE27020	107
human--GEO--GSE27155	99
human--GEO--GSE27210	114
human--GEO--GSE27211	438
human--GEO--GSE27237	118
human--GEO--GSE27272-cordblood	64
human--GEO--GSE27272-maternalperipheralblood	65
human--GEO--GSE27272-placenta	54
human--GEO--GSE2740	80
human--GEO--GSE27557	192
human--GEO--GSE27562	155
human--GEO--GSE27666	175
human--GEO--GSE27830	155
human--GEO--GSE27854	115
human--GEO--GSE27916	375
human--GEO--GSE27976	249
human--GEO--GSE28042	94
human--GEO--GSE28422	110
human--GEO--GSE2845	311
human--GEO--GSE28460	98
human--GEO--GSE28497	288
human--GEO--GSE28571	100
human--GEO--GSE28654	112
human--GEO--GSE28709	93
human--GEO--GSE28735	90
human--GEO--GSE28821	89
human--GEO--GSE28878	560
human--GEO--GSE28893	60
human--GEO--GSE28904	120
human--GEO--GSE28985	96
human--GEO--GSE28988	306
human--GEO--GSE29079	95
human--GEO--GSE29272	268
human--GEO--GSE29342	480
human--GEO--GSE29359	90
human--GEO--GSE29377	90
human--GEO--GSE29385	465
human--GEO--GSE29405	89
human--GEO--GSE29536	410
human--GEO--GSE29598	125
human--GEO--GSE29619	163
human--GEO--GSE29817	151
human--GEO--GSE2990	189
human--GEO--GSE29917	118
human--GEO--GSE29998	99
human--GEO--GSE30010	107
human--GEO--GSE30029	121
human--GEO--GSE30119	143
human--GEO--GSE30169	629
human--GEO--GSE30210	247
human--GEO--GSE30272	269
human--GEO--GSE30375	93
human--GEO--GSE30377	93
human--GEO--GSE30378	95
human--GEO--GSE30652	207
human--GEO--GSE30682	343
human--GEO--GSE30697	95
human--GEO--GSE30784	229
human--GEO--GSE30929	140
human--GEO--GSE30933	108
human--GEO--GSE30999	170
human--GEO--GSE31048	221
human--GEO--GSE31161	1035
human--GEO--GSE31189	92
human--GEO--GSE31279	110
human--GEO--GSE31312	496
human--GEO--GSE31348	135
human--GEO--GSE31403	224
human--GEO--GSE3141	111
human--GEO--GSE3149	153
human--GEO--GSE31552	131
human--GEO--GSE31684	93
human--GEO--GSE31836	110
human--GEO--GSE31852	124
human--GEO--GSE31912	89
human--GEO--GSE32018	127
human--GEO--GSE3218	107
human--GEO--GSE32215	228
human--GEO--GSE32225	155
human--GEO--GSE32413	89
human--GEO--GSE32472	299
human--GEO--GSE32504	149
human--GEO--GSE32512	204
human--GEO--GSE32548	131
human--GEO--GSE32571	98
human--GEO--GSE32591-glomeruli	46
human--GEO--GSE32591-tubulointerstitium	47
human--GEO--GSE32646	115
human--GEO--GSE32651	717
human--GEO--GSE32665	176
human--GEO--GSE32707	144
human--GEO--GSE32862	95
human--GEO--GSE32863	116
human--GEO--GSE32894	308
human--GEO--GSE32909	180
human--GEO--GSE32918	249
human--GEO--GSE33000	624
human--GEO--GSE33072	90
human--GEO--GSE3307	120
human--GEO--GSE33113	90
human--GEO--GSE33193	100
human--GEO--GSE33315	575
human--GEO--GSE33321-lcl	98
human--GEO--GSE33321-wholeblood	94
human--GEO--GSE33463	140
human--GEO--GSE33532	100
human--GEO--GSE33566	121
human--GEO--GSE33580	86
human--GEO--GSE33630	105
human--GEO--GSE3365	127
human--GEO--GSE33828	881
human--GEO--GSE34115	121
human--GEO--GSE34138	178
human--GEO--GSE34151	259
human--GEO--GSE34198	97
human--GEO--GSE34205	101
human--GEO--GSE34404	153
human--GEO--GSE3446	117
human--GEO--GSE34577	66
human--GEO--GSE34620	117
human--GEO--GSE34714	117
human--GEO--GSE34721	227
human--GEO--GSE34788	120
human--GEO--GSE34798	459
human--GEO--GSE34823-bonemarrow	150
human--GEO--GSE34823-peripheralblood	56
human--GEO--GSE3492	89
human--GEO--GSE3494	251
human--GEO--GSE35007	310
human--GEO--GSE35186	124
human--GEO--GSE35428	106
human--GEO--GSE35455	224
human--GEO--GSE35570	116
human--GEO--GSE35571	131
human--GEO--GSE35574	94
human--GEO--GSE35713	203
human--GEO--GSE35725	114
human--GEO--GSE35784	130
human--GEO--GSE35846	189
human--GEO--GSE3593	198
human--GEO--GSE35974	144
human--GEO--GSE35977	161
human--GEO--GSE35978-cerebellum	144
human--GEO--GSE35978-parietalcortex	161
human--GEO--GSE36059	411
human--GEO--GSE36192-cerebellum	456
human--GEO--GSE36192-frontal_cortex	455
human--GEO--GSE36221	221
human--GEO--GSE3629	121
human--GEO--GSE36335	132
human--GEO--GSE36376	433
human--GEO--GSE36382	991
human--GEO--GSE36562	155
human--GEO--GSE36693	101
human--GEO--GSE36701	221
human--GEO--GSE36771	107
human--GEO--GSE36772	100
human--GEO--GSE36774	107
human--GEO--GSE36809	857
human--GEO--GSE36828-cordblood	48
human--GEO--GSE36828-placenta	48
human--GEO--GSE36910	285
human--GEO--GSE36911	262
human--GEO--GSE36924	91
human--GEO--GSE36936	105
human--GEO--GSE37025	235
human--GEO--GSE37069	590
human--GEO--GSE37171	115
human--GEO--GSE37175	88
human--GEO--GSE37181	123
human--GEO--GSE37182	172
human--GEO--GSE37199	107
human--GEO--GSE37205	100
human--GEO--GSE37210	143
human--GEO--GSE37250	537
human--GEO--GSE37364	94
human--GEO--GSE37451	350
human--GEO--GSE37567	102
human--GEO--GSE37582	121
human--GEO--GSE37642	140
human--GEO--GSE37751	108
human--GEO--GSE37772	439
human--GEO--GSE37824	249
human--GEO--GSE37827	87
human--GEO--GSE37892	130
human--GEO--GSE3790	201
human--GEO--GSE38202	164
human--GEO--GSE38262	92
human--GEO--GSE3846	108
human--GEO--GSE38484	202
human--GEO--GSE38611	136
