geo_accession	age	batch_cov1	batch_cov2	batch_cov3	batch_cov4	batch_cov5	batch_cov6	batch_cov7	batch_cov8	batch_cov9	batch_cov10	batch_cov11	batch_cov12	batch_cov13	batch_cov14	batch_cov15	batch_cov16	site_cov1
GSM2457410	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457411	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457412	52.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457413	52.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457414	61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457415	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457416	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457417	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457418	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457419	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457420	74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457421	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457422	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457423	65.91666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457424	57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457425	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457426	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457427	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457428	71	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457429	69	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457430	74.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457431	69.33333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457432	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457433	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457434	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457435	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457436	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457437	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457438	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457439	53	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457440	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457441	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457442	71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457443	66.58333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457444	68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457445	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457446	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457447	44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457448	69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457449	69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457450	67	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457451	66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457452	66	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457453	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457454	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457455	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457456	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457457	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457458	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457459	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457460	53.83333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457461	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457462	77	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457463	74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457464	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457465	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457466	53.66666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457467	48.58333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457468	48.58333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457469	65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457470	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457471	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457472	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457473	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457474	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457475	66.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457476	59.16666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457477	56.83333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457478	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457479	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457480	68.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457481	59	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457482	78	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457483	56	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457484	56	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457485	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457486	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457487	72	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457488	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457489	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457490	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
